[INFO] [1777356219.041134432] [netlab_swarm_bridge]: NETLAB swarm bridge started
[INFO] [1777356509.425828132] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356511.425878599] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356513.625655455] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356515.626095837] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356517.825737422] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356519.825887771] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356521.826053389] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356524.025828316] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356526.025877193] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356528.025855799] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356530.226121661] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356532.425990118] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356534.625737704] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356536.825890815] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356538.826077503] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356541.025834388] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356543.026207569] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356545.225740801] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356547.226178452] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356549.426061559] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356551.625716913] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356553.625834520] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356555.626167959] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356557.826159537] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356560.025997542] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356562.226049501] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356564.426118019] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356566.426159585] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
